iter	Passed	Remaining
0	4	4142
1	7	3876
2	11	3749
3	14	3698
4	18	3678
5	22	3658
6	25	3687
7	29	3671
8	34	3766
9	40	3999
10	44	3987
11	48	3954
12	52	3963
13	56	3961
14	59	3924
15	63	3914
16	67	3903
17	71	3888
18	75	3896
19	79	3877
20	83	3905
21	87	3884
22	91	3869
23	95	3868
24	98	3857
25	103	3860
26	108	3902
27	114	3970
28	118	3963
29	122	3959
30	125	3938
31	129	3919
32	133	3918
33	137	3903
34	141	3898
35	145	3884
36	149	3879
37	153	3873
38	156	3861
39	160	3848
40	164	3838
41	167	3823
42	171	3815
43	175	3802
44	178	3791
45	183	3801
46	186	3787
47	191	3791
48	194	3783
49	200	3801
50	204	3796
51	207	3789
52	213	3816
53	217	3804
54	221	3803
55	224	3792
56	229	3802
57	233	3791
58	237	3788
59	242	3794
60	249	3842
61	254	3843
62	259	3858
63	263	3858
64	267	3851
65	272	3850
66	276	3856
67	281	3852
68	285	3846
69	289	3844
70	293	3842
71	297	3831
72	301	3826
73	305	3826
74	311	3841
75	315	3835
76	319	3829
77	324	3833
78	328	3826
79	332	3821
80	342	3882
81	347	3884
82	350	3873
83	355	3875
84	359	3865
85	363	3859
86	367	3852
87	371	3851
88	375	3846
89	379	3837
90	383	3827
91	388	3829
92	392	3824
93	396	3822
94	400	3814
95	405	3821
96	412	3836
97	416	3836
98	421	3834
99	426	3838
100	430	3832
101	434	3827
102	439	3824
103	442	3816
104	446	3809
105	450	3802
106	456	3810
107	460	3801
108	465	3801
109	468	3793
110	473	3789
111	476	3781
112	480	3772
113	488	3793
114	492	3788
115	496	3785
116	503	3796
117	506	3786
118	510	3783
119	515	3781
120	519	3774
121	523	3770
122	527	3763
123	532	3759
124	535	3750
125	539	3740
126	543	3736
127	547	3730
128	551	3724
129	555	3714
130	558	3705
131	562	3700
132	566	3691
133	570	3684
134	573	3676
135	577	3669
136	581	3663
137	585	3654
138	588	3647
139	592	3639
140	595	3630
141	599	3623
142	603	3614
143	606	3605
144	610	3600
145	614	3592
146	617	3584
147	621	3576
148	624	3567
149	628	3561
150	632	3554
151	635	3546
152	639	3542
153	643	3534
154	646	3526
155	651	3524
156	655	3517
157	659	3513
158	663	3507
159	666	3500
160	670	3494
161	674	3488
162	678	3482
163	681	3476
164	685	3468
165	690	3468
166	693	3460
167	697	3453
168	701	3448
169	706	3451
170	710	3446
171	714	3439
172	719	3438
173	724	3439
174	729	3437
175	732	3429
176	738	3434
177	742	3428
178	746	3424
179	750	3419
180	755	3418
181	759	3413
182	763	3406
183	768	3406
184	772	3401
185	776	3398
186	780	3391
187	784	3389
188	788	3383
189	792	3376
190	796	3372
191	800	3367
192	804	3364
193	808	3357
194	812	3352
195	816	3349
196	822	3351
197	826	3346
198	830	3341
199	834	3339
200	838	3334
201	842	3328
202	846	3323
203	850	3319
204	854	3315
205	858	3308
206	862	3304
207	866	3300
208	870	3294
209	875	3293
210	877	3282
211	882	3278
212	885	3272
213	889	3267
214	893	3262
215	897	3258
216	901	3253
217	905	3247
218	908	3241
219	913	3239
220	917	3233
221	921	3230
222	925	3223
223	930	3222
224	934	3217
225	938	3213
226	943	3211
227	947	3206
228	951	3202
229	955	3197
230	959	3195
231	962	3184
232	964	3175
233	969	3173
234	973	3168
235	977	3163
236	981	3159
237	984	3150
238	987	3144
239	991	3139
240	995	3134
241	999	3130
242	1003	3124
243	1006	3119
244	1010	3114
245	1015	3111
246	1019	3108
247	1024	3107
248	1028	3102
249	1032	3097
250	1036	3094
251	1040	3089
252	1044	3083
253	1048	3080
254	1052	3074
255	1057	3072
256	1062	3073
257	1066	3067
258	1073	3070
259	1078	3069
260	1081	3063
261	1089	3069
262	1096	3072
263	1100	3066
264	1107	3072
265	1111	3066
266	1115	3061
267	1118	3055
268	1126	3060
269	1130	3055
270	1137	3060
271	1143	3061
272	1147	3056
273	1154	3059
274	1158	3053
275	1161	3047
276	1167	3046
277	1173	3047
278	1176	3041
279	1180	3036
280	1187	3038
281	1191	3032
282	1195	3028
283	1203	3033
284	1207	3028
285	1210	3022
286	1217	3023
287	1221	3019
288	1224	3013
289	1229	3011
290	1235	3011
291	1239	3005
292	1243	3001
293	1251	3004
294	1254	2998
295	1258	2992
296	1262	2989
297	1266	2983
298	1270	2977
299	1273	2972
300	1277	2967
301	1284	2968
302	1287	2962
303	1292	2958
304	1295	2953
305	1299	2947
306	1303	2941
307	1307	2936
308	1311	2931
309	1314	2925
310	1318	2919
311	1324	2921
312	1332	2924
313	1334	2916
314	1338	2910
315	1342	2904
316	1345	2899
317	1349	2894
318	1352	2888
319	1356	2883
320	1360	2878
321	1364	2872
322	1367	2866
323	1371	2860
324	1374	2855
325	1380	2854
326	1386	2852
327	1390	2848
328	1393	2842
329	1397	2837
330	1401	2832
331	1406	2829
332	1410	2824
333	1413	2819
334	1417	2814
335	1422	2811
336	1426	2807
337	1430	2801
338	1434	2796
339	1438	2792
340	1442	2786
341	1445	2781
342	1449	2776
343	1453	2771
344	1457	2766
345	1461	2762
346	1464	2756
347	1468	2752
348	1472	2746
349	1476	2741
350	1479	2736
351	1483	2731
352	1487	2726
353	1491	2720
354	1494	2715
355	1498	2710
356	1502	2705
357	1506	2700
358	1509	2695
359	1513	2689
360	1516	2684
361	1520	2679
362	1524	2674
363	1527	2669
364	1531	2664
365	1535	2659
366	1538	2654
367	1542	2648
368	1546	2644
369	1549	2639
370	1553	2634
371	1557	2628
372	1560	2623
373	1564	2618
374	1567	2613
375	1571	2608
376	1575	2603
377	1578	2597
378	1582	2593
379	1586	2588
380	1590	2583
381	1594	2578
382	1597	2573
383	1602	2570
384	1605	2565
385	1609	2559
386	1613	2555
387	1616	2550
388	1620	2544
389	1624	2540
390	1627	2535
391	1631	2530
392	1635	2525
393	1638	2520
394	1642	2515
395	1645	2510
396	1649	2505
397	1653	2500
398	1656	2495
399	1660	2491
400	1664	2485
401	1667	2481
402	1671	2476
403	1674	2470
404	1678	2465
405	1682	2461
406	1688	2459
407	1692	2455
408	1695	2449
409	1699	2445
410	1702	2440
411	1706	2435
412	1710	2430
413	1713	2426
414	1717	2420
415	1721	2416
416	1724	2411
417	1728	2406
418	1731	2401
419	1735	2396
420	1739	2392
421	1742	2387
422	1746	2382
423	1750	2377
424	1753	2372
425	1757	2368
426	1761	2363
427	1764	2358
428	1768	2354
429	1772	2349
430	1776	2344
431	1779	2340
432	1783	2335
433	1786	2330
434	1790	2325
435	1793	2320
436	1797	2316
437	1801	2311
438	1804	2306
439	1808	2302
440	1812	2297
441	1816	2293
442	1819	2288
443	1823	2283
444	1827	2278
445	1830	2273
446	1834	2269
447	1838	2264
448	1841	2259
449	1845	2255
450	1848	2250
451	1852	2245
452	1855	2241
453	1859	2236
454	1863	2231
455	1866	2227
456	1870	2222
457	1873	2217
458	1877	2212
459	1881	2208
460	1885	2204
461	1888	2199
462	1892	2194
463	1896	2190
464	1899	2185
465	1903	2180
466	1906	2176
467	1910	2171
468	1914	2167
469	1917	2162
470	1921	2157
471	1925	2153
472	1928	2148
473	1932	2144
474	1937	2140
475	1940	2136
476	1945	2133
477	1949	2128
478	1953	2124
479	1956	2120
480	1961	2116
481	1965	2112
482	1968	2107
483	1973	2103
484	1977	2099
485	1981	2095
486	1984	2090
487	1988	2086
488	1992	2082
489	1996	2078
490	2000	2073
491	2002	2067
492	2007	2064
493	2011	2060
494	2014	2055
495	2018	2051
496	2023	2047
497	2029	2045
498	2033	2041
499	2037	2037
500	2042	2034
501	2046	2030
502	2050	2025
503	2053	2021
504	2058	2017
505	2062	2013
506	2067	2010
507	2073	2008
508	2077	2004
509	2082	2000
510	2085	1995
511	2090	1992
512	2093	1987
513	2097	1983
514	2101	1978
515	2105	1975
516	2109	1971
517	2113	1966
518	2117	1962
519	2123	1959
520	2126	1955
521	2131	1951
522	2135	1947
523	2139	1943
524	2143	1939
525	2147	1935
526	2151	1931
527	2155	1926
528	2159	1922
529	2163	1918
530	2167	1914
531	2171	1910
532	2174	1905
533	2178	1901
534	2182	1896
535	2186	1893
536	2190	1888
537	2194	1884
538	2200	1881
539	2206	1879
540	2210	1875
541	2215	1871
542	2222	1870
543	2227	1867
544	2234	1865
545	2238	1861
546	2242	1856
547	2246	1853
548	2250	1848
549	2254	1844
550	2258	1840
551	2262	1835
552	2266	1831
553	2269	1827
554	2273	1822
555	2276	1818
556	2280	1813
557	2284	1809
558	2287	1804
559	2291	1800
560	2296	1796
561	2302	1794
562	2307	1790
563	2311	1786
564	2315	1782
565	2318	1777
566	2321	1773
567	2325	1769
568	2329	1764
569	2334	1761
570	2337	1756
571	2342	1752
572	2346	1748
573	2350	1744
574	2355	1741
575	2361	1738
576	2365	1734
577	2369	1729
578	2373	1725
579	2377	1721
580	2381	1717
581	2385	1713
582	2388	1708
583	2393	1704
584	2396	1700
585	2400	1695
586	2404	1691
587	2408	1687
588	2412	1683
589	2415	1678
590	2425	1678
591	2430	1675
592	2434	1671
593	2439	1667
594	2442	1662
595	2446	1658
596	2450	1654
597	2454	1650
598	2458	1645
599	2461	1641
600	2465	1636
601	2470	1633
602	2474	1628
603	2477	1624
604	2480	1619
605	2484	1615
606	2488	1611
607	2491	1606
608	2496	1602
609	2506	1602
610	2514	1600
611	2519	1597
612	2523	1593
613	2527	1589
614	2531	1584
615	2536	1581
616	2541	1577
617	2545	1573
618	2549	1569
619	2554	1565
620	2558	1561
621	2561	1556
622	2566	1553
623	2572	1550
624	2578	1547
625	2584	1544
626	2591	1541
627	2597	1538
628	2602	1535
629	2607	1531
630	2612	1527
631	2617	1523
632	2623	1520
633	2628	1517
634	2634	1514
635	2638	1510
636	2646	1507
637	2652	1505
638	2656	1500
639	2661	1496
640	2665	1492
641	2668	1488
642	2672	1483
643	2677	1480
644	2681	1475
645	2685	1471
646	2688	1466
647	2692	1462
648	2696	1458
649	2700	1453
650	2703	1449
651	2707	1445
652	2712	1441
653	2718	1438
654	2721	1433
655	2726	1429
656	2730	1425
657	2733	1420
658	2737	1416
659	2741	1412
660	2745	1408
661	2748	1403
662	2752	1399
663	2756	1394
664	2760	1390
665	2764	1386
666	2767	1381
667	2771	1377
668	2774	1372
669	2778	1368
670	2782	1364
671	2785	1359
672	2790	1355
673	2794	1351
674	2797	1347
675	2801	1342
676	2805	1338
677	2808	1334
678	2812	1329
679	2816	1325
680	2821	1321
681	2825	1317
682	2828	1312
683	2832	1308
684	2836	1304
685	2840	1300
686	2844	1295
687	2848	1291
688	2853	1287
689	2860	1285
690	2864	1280
691	2868	1276
692	2874	1273
693	2878	1269
694	2882	1264
695	2887	1261
696	2891	1256
697	2895	1252
698	2899	1248
699	2904	1244
700	2907	1240
701	2911	1236
702	2915	1231
703	2921	1228
704	2925	1224
705	2929	1219
706	2938	1217
707	2942	1213
708	2946	1209
709	2952	1206
710	2957	1202
711	2960	1197
712	2967	1194
713	2971	1190
714	2975	1185
715	2980	1182
716	2983	1177
717	2988	1173
718	2991	1169
719	2996	1165
720	3000	1161
721	3004	1156
722	3008	1152
723	3013	1148
724	3016	1144
725	3020	1140
726	3024	1135
727	3030	1132
728	3034	1128
729	3038	1123
730	3043	1119
731	3050	1116
732	3054	1112
733	3059	1108
734	3066	1105
735	3070	1101
736	3076	1097
737	3081	1093
738	3085	1089
739	3090	1085
740	3094	1081
741	3098	1077
742	3103	1073
743	3107	1069
744	3111	1065
745	3115	1060
746	3120	1056
747	3126	1053
748	3130	1048
749	3134	1044
750	3138	1040
751	3142	1036
752	3146	1032
753	3150	1027
754	3154	1023
755	3159	1019
756	3164	1015
757	3168	1011
758	3176	1008
759	3180	1004
760	3184	1000
761	3192	997
762	3195	992
763	3199	988
764	3208	985
765	3212	981
766	3217	977
767	3225	974
768	3230	970
769	3237	967
770	3242	962
771	3246	958
772	3252	954
773	3257	951
774	3262	947
775	3269	943
776	3273	939
777	3281	936
778	3287	932
779	3291	928
780	3296	924
781	3300	920
782	3304	915
783	3308	911
784	3312	907
785	3316	902
786	3320	898
787	3323	894
788	3330	890
789	3335	886
790	3339	882
791	3343	878
792	3347	873
793	3351	869
794	3355	865
795	3359	860
796	3362	856
797	3366	852
798	3370	848
799	3374	843
800	3381	839
801	3387	836
802	3393	832
803	3398	828
804	3404	824
805	3411	821
806	3415	816
807	3418	812
808	3422	808
809	3426	803
810	3429	799
811	3433	794
812	3437	790
813	3440	786
814	3444	781
815	3447	777
816	3451	773
817	3455	768
818	3458	764
819	3462	760
820	3466	755
821	3469	751
822	3473	747
823	3477	742
824	3480	738
825	3484	734
826	3488	729
827	3492	725
828	3496	721
829	3499	716
830	3503	712
831	3507	708
832	3510	703
833	3514	699
834	3517	695
835	3521	690
836	3525	686
837	3529	682
838	3533	678
839	3536	673
840	3540	669
841	3544	665
842	3547	660
843	3551	656
844	3555	652
845	3559	647
846	3562	643
847	3566	639
848	3570	635
849	3574	630
850	3578	626
851	3582	622
852	3587	618
853	3591	614
854	3595	609
855	3599	605
856	3603	601
857	3606	596
858	3610	592
859	3614	588
860	3617	584
861	3622	579
862	3625	575
863	3630	571
864	3634	567
865	3638	562
866	3641	558
867	3645	554
868	3649	550
869	3653	545
870	3657	541
871	3660	537
872	3665	533
873	3670	529
874	3673	524
875	3677	520
876	3681	516
877	3685	512
878	3689	507
879	3692	503
880	3697	499
881	3700	495
882	3704	490
883	3708	486
884	3712	482
885	3716	478
886	3719	473
887	3723	469
888	3728	465
889	3732	461
890	3736	457
891	3739	452
892	3744	448
893	3747	444
894	3751	440
895	3755	435
896	3760	431
897	3764	427
898	3768	423
899	3771	419
900	3776	415
901	3780	410
902	3784	406
903	3788	402
904	3792	398
905	3796	393
906	3800	389
907	3804	385
908	3808	381
909	3812	377
910	3815	372
911	3819	368
912	3825	364
913	3829	360
914	3832	356
915	3837	351
916	3841	347
917	3845	343
918	3849	339
919	3853	335
920	3857	330
921	3860	326
922	3864	322
923	3868	318
924	3872	313
925	3876	309
926	3880	305
927	3884	301
928	3887	297
929	3891	292
930	3895	288
931	3899	284
932	3903	280
933	3906	276
934	3910	271
935	3914	267
936	3918	263
937	3922	259
938	3925	255
939	3929	250
940	3932	246
941	3936	242
942	3940	238
943	3943	233
944	3947	229
945	3951	225
946	3954	221
947	3958	217
948	3961	212
949	3966	208
950	3969	204
951	3973	200
952	3977	196
953	3981	191
954	3984	187
955	3988	183
956	3992	179
957	3995	175
958	3999	170
959	4003	166
960	4006	162
961	4010	158
962	4013	154
963	4018	150
964	4021	145
965	4025	141
966	4030	137
967	4035	133
968	4039	129
969	4043	125
970	4047	120
971	4051	116
972	4054	112
973	4058	108
974	4062	104
975	4066	99
976	4069	95
977	4073	91
978	4077	87
979	4081	83
980	4085	79
981	4088	74
982	4092	70
983	4096	66
984	4099	62
985	4103	58
986	4107	54
987	4110	49
988	4114	45
989	4117	41
990	4121	37
991	4125	33
992	4128	29
993	4132	24
994	4136	20
995	4139	16
996	4143	12
997	4147	8
998	4150	4
999	4154	0
